Symbol,Date,Close,High,Low,Open,Volume
MO,2015-09-11,52.59,53.12,52.2,52.69,5373438
MO,2015-09-14,52.45,52.7999,52.15,52.72,5568742
MO,2015-09-15,54.11,54.2,52.27,52.69,10665649
MO,2015-09-16,55.36,55.66,54.82,55.5,10713296
MO,2015-09-17,54.69,55.36,54.4,55.22,9801575
MO,2015-09-18,54.05,55.24,53.88,54.0,12865625
MO,2015-09-21,54.79,54.96,54.28,54.49,4085130
MO,2015-09-22,54.2,54.55,53.89,54.19,4949844
MO,2015-09-23,54.4,54.49,54.0,54.07,3677137
MO,2015-09-24,54.61,54.785,54.04,54.14,5602269
MO,2015-09-25,54.79,55.36,54.59,54.77,5656209
MO,2015-09-28,54.63,55.5,54.3,54.34,7881591
MO,2015-09-29,54.23,54.82,53.87,54.64,7335889
MO,2015-09-30,54.4,54.94,54.02,54.82,7766576
MO,2015-10-01,54.22,54.54,53.75,54.46,7113825
MO,2015-10-02,54.86,54.87,53.68,53.82,4999679
MO,2015-10-05,55.73,55.75,55.01,55.24,8563508
MO,2015-10-06,55.41,55.96,55.25,55.59,5639339
MO,2015-10-07,55.9,55.9,55.34,55.41,5998909
MO,2015-10-08,56.37,56.38,55.39,55.87,5587589
MO,2015-10-09,56.81,57.5,56.5,56.6,8383070
MO,2015-10-12,57.46,57.67,56.81,56.85,6050883
MO,2015-10-13,57.62,57.77,57.16,57.55,6167388
MO,2015-10-14,57.55,57.925,57.42,57.43,6087268
MO,2015-10-15,57.87,58.32,57.715,57.97,7314468
MO,2015-10-16,58.72,59.12,58.05,58.27,9116196
MO,2015-10-19,59.66,59.72,58.42,58.67,6403612
MO,2015-10-20,59.74,59.94,59.37,59.67,5431874
MO,2015-10-21,59.84,60.3328,59.371,59.74,5216162
MO,2015-10-22,61.4,61.57,60.09,60.1,7372354
MO,2015-10-23,61.05,61.58,60.22,61.51,8025034
MO,2015-10-26,61.4,61.58,60.94,61.36,5101423
MO,2015-10-27,61.06,61.28,60.61,61.06,4500764
MO,2015-10-28,61.44,61.44,60.5699,61.33,5142852
MO,2015-10-29,61.53,61.74,60.53,61.46,6018135
MO,2015-10-30,60.47,61.3,60.45,61.2,6882427
MO,2015-11-02,60.5,60.89,59.99,60.82,5920203
MO,2015-11-03,57.85,60.0,57.73,59.94,12133372
MO,2015-11-04,58.03,58.23,57.77,57.89,9298798
MO,2015-11-05,58.05,58.46,57.77,58.4,5382133
MO,2015-11-06,57.09,57.79,56.35,57.75,7995545
MO,2015-11-09,57.08,57.38,56.58,56.785,6247659
MO,2015-11-10,56.79,57.29,56.71,57.01,4866567
MO,2015-11-11,57.21,57.74,57.0,57.0,8123417
MO,2015-11-12,56.76,57.4,56.59,57.15,5254129
